('Action', 3.1585329294510713, 1175)
('Adventure', 3.168709062525581, 707)
('Animation', 3.1758854560200147, 223)
('Comedy', 3.137508814415478, 2111)
('Crime', 3.1630791523933883, 905)
('Documentary', 3.07285257564033, 502)
('Drama', 3.1396027761657495, 3721)
('Family', 3.1569054919202837, 386)
('Fantasy', 3.1429135219007027, 463)
('Foreign', 3.113985834407914, 271)
('History', 3.118791045849541, 306)
('Horror', 3.1340202623924758, 723)
('Music', 3.1890477821347667, 248)
('Mystery', 3.1487693926555473, 475)
('Romance', 3.1559472948670737, 1205)
('Science Fiction', 3.157163683913987, 593)
('TV Movie', 3.148118069220997, 87)
('Thriller', 3.148576179568002, 1425)
('War', 3.114663382606141, 231)
('Western', 3.2140607181871017, 185)
